"screen_name";"count"
"dreynders";24297
"Europarl_EN";20240
"JHahnEU";18544
"jwojc";15174
"stefanomanservi";14043
"YlvaJohansson";13324
"MarosSefcovic";11671
"KoenDoens";9875
"stephen_quest";9545
"VDombrovskis";9013
"GabrielMariya";7853
"VeraJourova";7715
"dubravkasuica";7665
"PaoloGentiloni";7555
"vestager";6700
"SandraGallina";6492
"helenadalli";6404
"MargSchinas";5726
"kmathernova";5427
"TimmermansEU";5133
"DanielssonEU";5043
"NicolasSchmitEU";4855
"BaldwinMatthew_";4596
"JosepBorrellF";4412
"WeyandSabine";4263
"ViolaRoberto";3822
"JornaKerstin";3661
"VSinkevicius";3391
"MKoehlerEU";2932
"SKyriakidesEU";2915
"JEPaquetEU";2889
"JuttaUrpilainen";2282
"KadriSimson";2082
"lemaitre_eu";1943
"JanezLenarcic";1860
"TimoPesonen1";1810
"MoniquePariatEU";1751
"vonderleyen";1748
"marjetajager";1676
"ThierryBreton";1341
"ElisaFerreiraEC";1276
"OliverVarhelyi";1211
"AdinaValean";1137
"mariofcenteno";855
"anne_bucher";50
