screen_name;count;startEU;
dreynders;24297;2019-12-01;
Europarl_EN;20240;2000-01-01;
JHahnEU;18544;2010-02-10;
jwojc;15174;2016-06-01;
stefanomanservi;14043;2000-01-01;
YlvaJohansson;13324;2019-12-01;
MarosSefcovic;11671;2009-10-01;
KoenDoens;9875;2000-01-01;
stephen_quest;9545;2000-01-01;
VDombrovskis;9013;2014-11-01;
GabrielMariya;7853;2017-07-10;
VeraJourova;7715;2014-11-01;
dubravkasuica;7665;2019-12-01;
PaoloGentiloni;7555;2019-12-01;
vestager;6700;2014-09-10;
SandraGallina;6492;2000-01-01;
helenadalli;6404;2019-12-01;
MargSchinas;5726;2014-11-01;
kmathernova;5427;2000-01-01;
TimmermansEU;5133;2019-12-01;
DanielssonEU;5043;2000-01-01;
NicolasSchmitEU;4855;2019-12-01;
BaldwinMatthew_;4596;2000-01-01;
JosepBorrellF;4412;2019-12-01;
WeyandSabine;4263;2000-01-01;
ViolaRoberto;3822;2000-01-01;
JornaKerstin;3661;2000-01-01;
VSinkevicius;3391;2019-12-01;
MKoehlerEU;2932;2000-01-01;
SKyriakidesEU;2915;2019-12-01;
JEPaquetEU;2889;2000-01-01;
JuttaUrpilainen;2282;2019-12-01;
KadriSimson;2082;2019-12-01;
lemaitre_eu;1943;2007-01-01;
JanezLenarcic;1860;2019-12-01;
TimoPesonen1;1810;2002-01-01;
MoniquePariatEU;1751;2000-01-01;
vonderleyen;1748;2019-12-01;
marjetajager;1676;2000-01-01;
ThierryBreton;1341;2019-12-01;
ElisaFerreiraEC;1276;2019-12-01;
OliverVarhelyi;1211;2019-12-01;
AdinaValean;1137;2019-12-01;
mariofcenteno;855;2000-01-01;
anne_bucher;50;2000-01-01;
